alpha,days,annual_return,annual_volatility,sharpe,max_drawdown,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_turnover,mean_coverage,mean_return_coverage,paper_turnover,cents_per_share
alpha083,883,0.03513321489270482,0.05123416335450831,0.6857380425948403,-0.048060261133714866,0.002790733797038122,0.5546088096912513,0.007178050727654931,1.0532301394381898,0.7071966856414802,0.997191811918229,1.0,1.4200435865138212,0.5278472798938365
alpha084,883,0.044863720752891675,0.054681647468706865,0.8204529824849593,-0.05007904377803074,-0.0002070345119074602,-0.10515627483503252,0.008048255651238654,1.0123969976763818,0.39111772751720447,0.9989139482367221,0.9999977344906671,0.7928240502774132,1.2060004681586403
alpha085,883,-0.004837225576779589,0.026552824972703584,-0.18217367009921837,-0.05272929733986653,-0.0004227482987727714,-0.1356753739616872,0.001068104830869747,0.2949849225562724,0.2976616359260307,0.9988576059049287,0.9999977354966656,0.6063681235925249,-0.11955167132820034
alpha086,883,0.022997403330805587,0.026756017094561848,0.8595226729571721,-0.027471888079464435,0.0014226472599965356,0.3565450653417802,0.004556173698852117,0.9767189411590176,0.37442356029385915,0.9982543673811247,0.9999977354966656,0.7587315950178036,0.5151516876330863
alpha087,883,0.026643802528744556,0.03470198340037087,0.7677890402212516,-0.030593661939061434,0.0033102730972415363,0.720990741719455,0.004491556988967935,0.8639790863773397,0.3995621154337009,0.9965887171021648,0.9999977339863243,0.8096633671917481,0.5295523193667581
alpha088,883,-0.06722454538551334,0.06781387404774358,-0.9913096151708525,-0.22805925832356322,-0.007640918323534862,-0.9287334363808365,-0.0005919884971298591,-0.06565062058205202,0.2581208667427082,0.9971332271873022,0.9999977339863243,0.5293003052676463,-2.1374063655566955
alpha089,883,-0.0009687277181309315,0.025088513653553333,-0.038612399742291185,-0.056129993979731396,0.0009411352589236488,0.30703874250408486,0.0007779506875876846,0.22125419183772965,0.3505427668207692,0.9992058837019486,0.999997736000336,0.7110630886184539,-0.020261604250092703
alpha090,883,0.040742594183304816,0.04900642399457262,0.8313725194031092,-0.05142388751514704,0.005056417320637422,0.8366454308604563,0.011190306933958633,1.562429492164637,0.5540940045682854,0.9986071457833795,0.9999977354966656,1.115112158261404,0.6402120266201218
alpha091,883,-0.003310467801254874,0.02709876739036882,-0.12216303987433201,-0.044847874081616945,-0.002064796472149992,-0.7121904643112545,-0.002044433803855239,-0.6428057954082177,0.3510966956285848,0.9989828706563662,0.9999977354966656,0.7122154042710352,-0.0685539909595102
alpha092,883,0.025413470747838767,0.030668537380603732,0.8286495841797621,-0.04881421101217709,0.0028913747002602356,0.8539218821010228,0.003807816361283896,0.932105812280503,0.30344971177815616,0.9986071457833795,0.9999977354966656,0.6160641730900194,0.6152308005760484
alpha093,883,0.029716544542405143,0.046201237985098266,0.6431980145638069,-0.04798596139789413,0.001103650307989318,0.3997271701596005,0.004945800046266157,0.8606171882410925,0.17266000205340554,0.9962044889485535,0.9999977339863243,0.3586354312726101,1.3278116060265934
alpha094,883,0.036924705556021765,0.05481876238872132,0.673577876388155,-0.0489377798697791,0.005505114409806046,0.8457318637713512,0.0023754295353223126,0.306712053460249,0.319354982081925,0.9974857431107345,0.9999977339863243,0.649509732873452,0.8477884961285619
alpha095,883,0.021044667306119976,0.023065523673628668,0.9123862784949825,-0.024204859442623627,0.0024139664430097994,0.7094631950764986,-0.00034133555529821335,-0.086410220596813,0.15086940511486574,0.9975498574033888,0.9999977339863243,0.31520656950501963,1.0382487349763336
alpha096,883,0.015969358951683908,0.018022713464990115,0.8860685147497388,-0.025879305824059173,0.0026865727038005247,1.247846812929237,0.0033444473172679636,1.4700866944941302,0.34226628214421057,0.9968449275183149,0.9999977339863243,0.6954033992992623,0.3472128471801475
alpha097,883,-0.0012042819992970418,0.025946407464278353,-0.04641420978819646,-0.03767290330441386,-0.00029049829053582254,-0.09013088177194574,-0.0031701603491939663,-0.8823722278058261,0.2592517345067503,0.9963965823569741,0.9999977339863243,0.5304339076539015,-0.03447763187254199
alpha098,883,-0.001609611701686995,0.024228992721132273,-0.06643329007578218,-0.03519708114244191,-0.0011869232987881532,-0.40154343853130636,-0.0006614487933632501,-0.19797942206557662,0.22244639824730328,0.9983826344043616,0.9999977354966656,0.45746830362646723,-0.052430211316977816
alpha099,883,-0.004507757477000301,0.01947356344527847,-0.2314808735271944,-0.05225341955206031,-0.0008904244944686809,-0.2990022327867941,0.0004120637795316623,0.12054735403207116,0.17948406509915468,0.9973575345739495,0.9999977339863243,0.3715998332164188,-0.18374832171096397
alpha100,883,-0.00036507113731563235,0.025649449527384204,-0.014233098333196987,-0.03604281139548793,-0.00042424426433610704,-0.12779161148117468,0.0030556275699071545,0.909085183734447,0.6829800164855147,0.9987647890023453,0.9999992449981124,1.371975155408081,-0.0037788976886359766
alpha101,883,-0.03849832376506529,0.05589926198795544,-0.6887089810480949,-0.1724983649580868,-0.004368331126630045,-0.6700201251518998,-0.010813319292707626,-1.4056713349802916,0.7940252331673338,1.0,0.999997737004995,1.5931882602751821,-0.36193444317199186
